"tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"2/23/2018","64","26","88","61","14","88","co","SEDANG","DKI5"
"2/24/2018","47","23","22","76","11","76","o3","SEDANG","DKI3"
"2/25/2018","48","26","20","91","11","91","o3","SEDANG","DKI5"
"2/26/2018","46","25","33","80","15","80","o3","SEDANG","DKI5"
"2/27/2018","47","25","42","64","17","64","o3","SEDANG","DKI3"
"2/28/2018","56","28","56","80","16","80","o3","SEDANG","DKI3"
"1/1/2018","76","31","38","35","9","76","pm10","SEDANG","DKI4"
"2/1/2018","23","31","24","39","14","39","o3","BAIK","DKI3"
"3/1/2018","53","35","35","101","23","101","o3","TIDAK SEHAT","DKI3"
"4/1/2018","53","49","34","57","15","57","o3","SEDANG","DKI3"
"5/1/2018","44","32","26","28","10","44","pm10","BAIK","DKI4"
"6/1/2018","20","30","22","31","5","31","o3","BAIK","DKI5"
"7/1/2018","26","30","14","46","5","46","o3","BAIK","DKI5"
"8/1/2018","62","33","19","73","17","73","o3","SEDANG","DKI5"
"9/1/2018","45","32","16","63","14","63","o3","SEDANG","DKI3"
"10/1/2018","42","34","16","95","17","95","o3","SEDANG","DKI5"
"11/1/2018","40","38","18","81","19","81","o3","SEDANG","DKI5"
"12/1/2018","37","33","18","83","17","83","o3","SEDANG","DKI5"
"1/13/2018","51","30","17","93","21","93","o3","SEDANG","DKI5"
"1/14/2018","33","72","17","73","14","73","o3","SEDANG","DKI5"
"1/15/2018","30","72","19","70","12","72","so2","SEDANG","DKI4"
"1/16/2018","25","70","19","61","10","70","so2","SEDANG","DKI4"
"1/17/2018","35","52","19","60","13","60","o3","SEDANG","DKI5"
"1/18/2018","41","52","22","56","15","56","o3","SEDANG","DKI5"
"1/19/2018","46","51","29","48","19","51","so2","SEDANG","DKI4"
"1/20/2018","27","51","18","38","7","51","so2","SEDANG","DKI4"
"1/21/2018","25","51","18","40","8","51","so2","SEDANG","DKI4"
"1/22/2018","26","52","17","32","6","52","so2","SEDANG","DKI4"
"1/23/2018","28","52","17","57","9","57","o3","SEDANG","DKI5"
"1/24/2018","33","53","20","86","19","86","o3","SEDANG","DKI5"
"1/25/2018","26","53","22","51","15","53","so2","SEDANG","DKI4"
"1/26/2018","21","53","19","41","7","53","so2","SEDANG","DKI4"
